variable,coefficient,odds_ratio,p_value
tenure,-0.03153940390411637,0.969,5.4711708267570376e-48
Contract_Two year,-1.3196580678616001,0.267,3.494202969026263e-14
Contract_One year,-0.6583917496607835,0.518,4.678709373023053e-10
OnlineSecurity_Yes,-0.4540840884401307,0.635,1.0495146369457662e-07
PaperlessBilling_Yes,0.3707559103017269,1.449,4.80382607681096e-07
InternetService_No,-0.7664485742908205,0.465,6.456349686442156e-07
TechSupport_Yes,-0.38754754644475714,0.679,1.0797546650039139e-05
PaymentMethod_Electronic check,0.3582919770691956,1.431,0.0001303325041471855
InternetService_Fiber optic,0.5058393847230792,1.658,0.00032399440637179383
MonthlyCharges,0.011001962371676501,1.011,0.0008095193880605716
SeniorCitizen_Yes,0.251751312489882,1.286,0.002622601883035097
Dependents_Yes,-0.1766001075679731,0.838,0.02895472944499976
PaymentMethod_Credit card (automatic),-0.08265568638191959,0.921,0.4655997289140955
PaymentMethod_Mailed check,-0.025191314976245202,0.975,0.8232677971383671
