risk_rank,customerID,Contract,InternetService,tenure,MonthlyCharges,annual_revenue,churn_probability,revenue_at_risk
1,3292-PBZEJ,Month-to-month,Fiber optic,11,111.4,1336.8000000000002,0.7337114995790314,980.8255326372492
2,2081-VEYEH,Month-to-month,Fiber optic,3,107.95,1295.4,0.7261529387743596,940.6585168883055
3,5150-ITWWB,Month-to-month,Fiber optic,3,94.85,1138.1999999999998,0.8129336859371541,925.2811213336687
4,6350-XFYGW,Month-to-month,Fiber optic,4,94.75,1137.0,0.8078737250820971,918.5524254183443
5,3629-ZNKXA,Month-to-month,Fiber optic,17,101.8,1221.6,0.7507042164021421,917.0602707568568
6,5956-YHHRX,Month-to-month,Fiber optic,21,104.35,1252.1999999999998,0.7318319352928603,916.3999493737196
7,5995-SNNEW,Month-to-month,Fiber optic,23,104.45,1253.4,0.7193937648705577,901.6881448887572
8,6734-GMPVK,Month-to-month,Fiber optic,5,105.3,1263.6,0.7109455397126341,898.3507839808843
9,7145-FEJWU,Month-to-month,Fiber optic,12,105.3,1263.6,0.7050504539938868,890.9017536666753
10,9290-SHCMB,Month-to-month,Fiber optic,13,96.85,1162.1999999999998,0.763815951610653,887.7068989619007
11,3320-VEOYC,Month-to-month,Fiber optic,14,95.6,1147.1999999999998,0.7554328622168254,866.632579535142
12,0365-BZUWY,Month-to-month,Fiber optic,17,102.55,1230.6,0.7020331925989185,863.922046812229
13,9094-AZPHK,Month-to-month,Fiber optic,15,100.15,1201.8000000000002,0.7096154452609712,852.8158421146353
14,4929-XIHVW,Month-to-month,Fiber optic,2,95.5,1146.0,0.7437681651045459,852.3583172098096
15,6583-KQJLK,Month-to-month,Fiber optic,15,94.65,1135.8000000000002,0.7474905436271289,848.9997594516931
16,3318-NMQXL,Month-to-month,Fiber optic,3,92.0,1104.0,0.7655185769691072,845.1325089738943
17,4927-WWOOZ,Month-to-month,Fiber optic,2,91.45,1097.4,0.7700818556016196,845.0878283372174
18,4847-TAJYI,Month-to-month,Fiber optic,6,89.35,1072.1999999999998,0.7877957046886878,844.6745545672109
19,8161-QYMTT,Month-to-month,Fiber optic,7,94.1,1129.1999999999998,0.7464301943178395,842.8689754237042
20,2107-FBPTK,Month-to-month,Fiber optic,30,104.1,1249.1999999999998,0.6714770545018592,838.8091364837225
